Symbol,Trend,RSI,MACD,Signal,VolumeSpike,Pattern
WIPRO.NS,Downtrend,17.625499237619493,-3.7029120587296234,-3.014205008588571,True,No VCP pattern
HINDUNILVR.NS,Downtrend,42.06277913989196,-32.48177454058532,-34.1775223694954,False,No VCP pattern
TITAN.NS,Uptrend,21.05163279829209,-24.325010874324107,13.054876209389306,True,No VCP pattern
MARUTI.NS,Downtrend,12.70661157024793,-375.6182084675893,-321.42169604693663,False,No VCP pattern
ITC.NS,Downtrend,59.68656534742993,-3.4666349345648655,-4.225726861370317,False,No VCP pattern
BHARTIARTL.NS,Downtrend,65.41667841902226,-17.719593394057938,-21.117215398704225,True,No VCP pattern
HDFCBANK.NS,Downtrend,59.892079815489524,-4.595631460582808,-8.635808951372015,False,No VCP pattern
KOTAKBANK.NS,Uptrend,42.84233632747232,3.884311887647982,5.587800631779282,False,VCP breakout candidate
SBIN.NS,Downtrend,29.17755133506425,-15.33055886614261,-12.603175325539333,False,No VCP pattern
AXISBANK.NS,Downtrend,37.07931934023305,-3.2559476501769495,-2.886865286085217,False,VCP breakout candidate
TCS.NS,Downtrend,12.943823043170042,-39.069929416848936,-23.06926015515599,True,No VCP pattern
RELIANCE.NS,Downtrend,35.86591896844378,-18.1467788942457,-11.145386944565084,False,No VCP pattern
ULTRACEMCO.NS,Downtrend,35.80729166666667,-210.64793232630655,-180.51509156792665,False,No VCP pattern
INFY.NS,Downtrend,30.455395388080078,-21.32904076396221,-16.820596535084324,True,No VCP pattern
POWERGRID.NS,Downtrend,56.86591005452735,-1.7050978916466306,-2.371879166092694,False,No VCP pattern
ASIANPAINT.NS,Downtrend,22.35583932230486,-60.9653226032201,-56.02515602481243,False,No VCP pattern
ICICIBANK.NS,Downtrend,10.983091413622702,-18.56328239427353,-9.881552871584285,False,No VCP pattern
SUNPHARMA.NS,Downtrend,16.091954022988503,-21.29307779941996,-16.56394363389674,False,No VCP pattern
NTPC.NS,Downtrend,49.595690245750745,-2.354036687766211,-2.244467510960377,False,No VCP pattern
