symbol,entry,close,change_pct,volume_ratio,rsi14,sma20,sma50,atr14,pattern,score,signals,target_2pct,stop_loss,risk_reward,recommendation,screeners
KOTAKBANK.NS,418.0,418.0,0.35,0.85,65.1,412.09,396.73,7.26,Bullish close,3,"['above rising SMA20/SMA50', 'RSI 65 healthy']",426.36,407.1,0.77,WAIT,['fallback']
APOLLOHOSP.NS,8940.0,8940.0,-0.3,0.39,59.4,8789.8,8838.09,140.46,Bullish close,2,"['near 5-day high', '20-day breakout pressure', 'RSI 59 healthy', 'weak volume']",9118.8,8729.3,0.85,WAIT,['fallback']
DRREDDY.NS,1178.9,1178.9,3.14,1.35,46.0,1168.3,1191.8,19.41,Bullish close,2,"['near 5-day high', 'RSI 46 healthy']",1202.48,1149.78,0.81,WAIT,['fallback']
ONGC.NS,234.7,234.7,-1.08,1.75,46.3,235.5,240.4,4.11,Bearish close,1,"['volume 1.7x average', 'RSI 46 healthy', 'below SMA20']",239.39,228.53,0.76,WAIT,['fallback']
CIPLA.NS,1362.4,1362.4,-0.79,1.52,29.6,1410.92,1432.23,22.09,Bearish close,0,"['volume 1.5x average', 'below SMA20']",1389.65,1329.27,0.82,WAIT,['fallback']
POWERGRID.NS,269.25,269.25,-0.92,0.85,43.6,266.93,275.91,4.43,Indecision / doji,0,[],274.63,262.61,0.81,WAIT,['fallback']
NTPC.NS,336.05,336.05,0.46,0.34,42.2,334.23,341.68,5.59,Bullish close,0,"['near 5-day high', 'weak volume']",342.77,327.67,0.8,WAIT,['fallback']
AXISBANK.NS,1250.4,1250.4,0.35,0.58,51.2,1249.91,1261.91,23.85,Bullish close,0,"['RSI 51 healthy', 'weak volume']",1275.41,1214.63,0.7,WAIT,['fallback']
ADANIENT.NS,3030.9,3030.9,-1.5,0.5,52.0,3005.99,3048.56,97.86,Indecision / doji,0,"['RSI 52 healthy', 'weak volume']",3091.52,2939.97,0.67,WAIT,['fallback']
COALINDIA.NS,426.8,426.8,-1.2,0.23,68.5,411.2,417.4,8.93,Bearish close,0,"['RSI 68 healthy', 'weak volume']",435.34,414.0,0.67,WAIT,['fallback']
BANKBARODA.NS,236.59,236.59,-0.43,0.31,39.7,240.69,244.35,4.08,Bullish close,-2,"['near 5-day high', 'below SMA20', 'weak volume']",241.32,230.47,0.77,WAIT,['fallback']
HINDALCO.NS,988.6,988.6,-2.5,1.18,36.1,1027.34,1001.18,23.54,Indecision / doji,-2,['below SMA20'],1008.37,958.94,0.67,WAIT,['fallback']
INDUSINDBK.NS,976.3,976.3,-1.71,1.12,36.9,1003.0,1011.83,21.51,Bearish close,-2,['below SMA20'],995.83,947.01,0.67,WAIT,['fallback']
MARUTI.NS,12412.0,12412.0,-1.63,0.97,19.2,13265.55,13649.04,248.29,Bearish close,-2,['below SMA20'],12660.24,12039.64,0.67,WAIT,['fallback']
TECHM.NS,1538.8,1538.8,0.85,0.79,42.4,1586.41,1577.21,40.72,Bullish close,-2,['below SMA20'],1569.58,1492.64,0.67,WAIT,['fallback']
TATASTEEL.NS,182.4,182.4,-2.35,0.72,42.6,185.47,186.64,5.04,Bearish close,-2,['below SMA20'],186.05,176.93,0.67,WAIT,['fallback']
HCLTECH.NS,1215.7,1215.7,0.72,0.71,30.3,1296.15,1282.23,35.57,Bullish close,-2,['below SMA20'],1240.01,1179.23,0.67,WAIT,['fallback']
BAJAJ-AUTO.NS,11665.0,11665.0,-1.06,0.63,49.1,11839.2,11306.28,233.71,Bullish close,-2,"['RSI 49 healthy', 'below SMA20', 'weak volume']",11898.3,11315.05,0.67,WAIT,['fallback']
HINDUNILVR.NS,1935.3,1935.3,-0.36,0.46,30.4,2000.03,2074.19,28.09,Bullish close,-3,"['below SMA20', 'weak volume']",1974.01,1893.16,0.92,WAIT,['fallback']
LT.NS,3915.5,3915.5,-1.0,0.6,28.5,4018.48,3965.18,58.32,Bearish close,-3,"['below SMA20', 'weak volume']",3993.81,3828.02,0.9,WAIT,['fallback']
TITAN.NS,4989.5,4989.5,-0.31,0.5,38.2,5062.88,4886.05,75.09,Bullish close,-3,"['below SMA20', 'weak volume']",5089.29,4876.87,0.89,WAIT,['fallback']
ICICIBANK.NS,1379.6,1379.6,-0.35,0.51,39.6,1417.33,1424.44,22.18,Bullish close,-3,"['below SMA20', 'weak volume']",1407.19,1346.33,0.83,WAIT,['fallback']
ULTRACEMCO.NS,10939.0,10939.0,-0.36,0.34,30.0,11388.5,11655.64,182.36,Bullish close,-3,"['below SMA20', 'weak volume']",11157.78,10665.46,0.8,WAIT,['fallback']
SBIN.NS,997.9,997.9,-1.17,0.59,33.8,1033.31,1038.54,16.84,Bearish close,-3,"['below SMA20', 'weak volume']",1017.86,972.64,0.79,WAIT,['fallback']
RELIANCE.NS,1255.0,1255.0,-1.49,0.48,35.6,1300.41,1301.15,22.19,Bearish close,-3,"['below SMA20', 'weak volume']",1280.1,1221.72,0.75,WAIT,['fallback']
SUNPHARMA.NS,1846.5,1846.5,-0.99,0.62,39.7,1905.56,1930.14,33.5,Indecision / doji,-3,"['below SMA20', 'weak volume']",1883.43,1796.25,0.73,WAIT,['fallback']
HDFCBANK.NS,691.95,691.95,-0.27,0.63,31.0,713.29,745.85,12.92,Bullish close,-3,"['below SMA20', 'weak volume']",705.79,672.56,0.71,WAIT,['fallback']
BHARTIARTL.NS,1841.7,1841.7,1.49,0.44,35.6,1893.27,1917.51,34.69,Bullish close,-3,"['below SMA20', 'weak volume']",1878.53,1789.67,0.71,WAIT,['fallback']
ASIANPAINT.NS,2465.8,2465.8,-0.93,0.69,22.6,2590.89,2665.68,47.86,Bullish close,-3,"['below SMA20', 'weak volume']",2515.12,2394.01,0.69,WAIT,['fallback']
EICHERMOT.NS,7571.5,7571.5,-1.63,0.63,26.3,7908.98,7781.64,145.57,Bearish close,-3,"['below SMA20', 'weak volume']",7722.93,7353.14,0.69,WAIT,['fallback']
JSWSTEEL.NS,1271.0,1271.0,-2.53,0.69,33.8,1306.49,1279.95,25.01,Bearish close,-3,"['below SMA20', 'weak volume']",1296.42,1233.49,0.68,WAIT,['fallback']
ITC.NS,260.5,260.5,0.46,0.57,38.3,266.03,275.91,5.11,Bullish close,-3,"['below SMA20', 'weak volume']",265.71,252.84,0.68,WAIT,['fallback']
TCS.NS,2206.5,2206.5,0.11,0.7,40.5,2290.37,2288.46,56.31,Bullish close,-3,"['below SMA20', 'weak volume']",2250.63,2140.3,0.67,WAIT,['fallback']
WIPRO.NS,166.99,166.99,0.41,0.69,28.5,176.87,178.75,4.0,Bullish close,-3,"['below SMA20', 'weak volume']",170.33,161.98,0.67,WAIT,['fallback']
NESTLEIND.NS,1388.5,1388.5,0.17,0.53,29.4,1439.57,1463.39,29.38,Bullish close,-3,"['below SMA20', 'weak volume']",1416.27,1346.85,0.67,WAIT,['fallback']
INFY.NS,1039.8,1039.8,0.32,0.51,31.1,1112.27,1113.61,28.89,Bullish close,-3,"['below SMA20', 'weak volume']",1060.6,1008.61,0.67,WAIT,['fallback']
M&M.NS,3106.6,3106.6,-0.55,0.48,12.8,3286.73,3277.85,66.42,Indecision / doji,-3,"['below SMA20', 'weak volume']",3168.73,3013.4,0.67,WAIT,['fallback']
PERSISTENT.NS,5498.0,5498.0,-0.21,0.46,43.0,5612.18,5404.12,162.11,Bullish close,-3,"['below SMA20', 'weak volume']",5607.96,5333.06,0.67,WAIT,['fallback']
